@relation cancer
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 2 NUMERIC
@attribute classes {0,1,}
@data
8.0,0.0,0.0,0
33.0,3.0,14.0,0
23.0,5.0,7.0,0
21.0,2.0,17.0,0
14.0,1.0,3.0,0
3.0,15.0,7.0,0
241.0,63.0,63.0,0
3.0,2.0,0.0,0
86.0,12.0,193.0,0
18.0,23.0,16.0,0
77.0,28.0,7.0,0
10.0,0.0,3.0,0
48.0,13.0,0.0,0
107.0,56.0,23.0,0
71.0,11.0,29.0,0
1.0,0.0,3.0,0
133.0,25.0,206.0,0
5.0,3.0,7.0,0
3.0,2.0,7.0,0
9.0,2.0,9.0,0
53.0,15.0,20.0,0
9.0,5.0,0.0,0
4.0,2.0,1.0,0
11.0,4.0,1.0,0
315.0,231.0,159.0,0
15.0,21.0,9.0,0
68.0,49.0,19.0,0
3.0,0.0,1.0,0
11.0,9.0,27.0,0
181.0,11.0,127.0,0
22.0,0.0,0.0,0
55.0,4.0,19.0,0
7.0,5.0,3.0,0
62.0,14.0,35.0,0
109.0,9.0,66.0,0
179.0,192.0,85.0,0
440.0,184.0,206.0,0
6.0,5.0,12.0,0
27.0,36.0,33.0,0
8.0,2.0,16.0,0
9.0,17.0,5.0,0
164.0,216.0,93.0,0
8.0,5.0,2.0,0
9.0,1.0,10.0,0
226.0,93.0,378.0,0
2.0,0.0,0.0,0
13.0,3.0,2.0,0
2.0,1.0,16.0,0
66.0,4.0,6.0,0
127.0,69.0,40.0,0
2.0,1.0,0.0,0
1.0,0.0,5.0,0
40.0,32.0,7.0,0
9.0,0.0,1.0,0
136.0,35.0,43.0,0
50.0,15.0,31.0,0
10.0,5.0,22.0,0
12.0,7.0,45.0,0
15.0,1.0,3.0,0
103.0,36.0,75.0,0
56.0,12.0,15.0,0
9.0,8.0,1.0,0
15.0,17.0,2.0,0
4.0,0.0,6.0,0
7.0,0.0,0.0,0
9.0,3.0,3.0,0
7.0,1.0,3.0,0
8.0,12.0,12.0,0
14.0,15.0,5.0,0
36.0,5.0,0.0,0
47.0,43.0,26.0,0
117.0,6.0,2.0,0
417.0,153.0,98.0,0
1.0,6.0,16.0,0
33.0,17.0,13.0,0
19.0,17.0,40.0,0
10.0,0.0,0.0,0
0.0,1.0,3.0,0
26.0,4.0,18.0,0
11.0,0.0,4.0,0
10.0,18.0,3.0,0
2.0,2.0,0.0,0
36.0,42.0,24.0,0
25.0,4.0,4.0,0
21.0,29.0,2.0,0
59.0,56.0,24.0,0
18.0,7.0,4.0,0
49.0,6.0,0.0,0
12.0,3.0,1.0,0
6.0,5.0,3.0,0
11.0,6.0,2.0,0
2.0,0.0,2.0,0
103.0,103.0,51.0,0
11.0,2.0,5.0,0
2.0,3.0,12.0,0
155.0,68.0,46.0,0
11.0,2.0,2.0,0
157.0,106.0,76.0,0
99.0,7.0,0.0,0
6.0,0.0,20.0,0
5.0,1.0,0.0,0
5.0,8.0,28.0,0
82.0,26.0,20.0,0
15.0,2.0,1.0,0
1.0,1.0,2.0,0
156.0,12.0,74.0,0
149.0,11.0,36.0,0
14.0,2.0,2.0,0
5.0,5.0,0.0,0
1.0,3.0,1.0,0
101.0,33.0,8.0,0
4.0,1.0,1.0,0
15.0,2.0,1.0,0
1.0,2.0,2.0,0
379.0,98.0,430.0,0
23.0,1.0,14.0,0
7.0,16.0,1.0,0
60.0,16.0,5.0,0
2.0,1.0,5.0,0
12.0,4.0,8.0,0
180.0,36.0,64.0,0
3.0,1.0,6.0,0
8.0,4.0,0.0,0
68.0,33.0,17.0,0
223.0,128.0,95.0,0
34.0,29.0,4.0,0
9.0,9.0,2.0,0
5.0,9.0,0.0,0
16.0,1.0,3.0,0
22.0,7.0,37.0,0
16.0,0.0,1.0,0
8.0,2.0,12.0,0
24.0,16.0,3.0,0
10.0,5.0,13.0,0
111.0,23.0,13.0,0
2.0,2.0,0.0,0
7.0,10.0,2.0,0
9.0,5.0,5.0,0
18.0,29.0,7.0,0
115.0,75.0,48.0,0
21.0,7.0,13.0,0
6.0,0.0,1.0,0
32.0,31.0,21.0,0
26.0,11.0,1.0,0
13.0,7.0,4.0,0
218.0,109.0,61.0,0
5.0,2.0,0.0,0
1.0,26.0,5.0,0
77.0,19.0,9.0,0
30.0,6.0,0.0,0
0.0,3.0,0.0,0
3.0,0.0,0.0,0
56.0,63.0,13.0,0
31.0,12.0,2.0,0
5.0,2.0,1.0,0
6.0,4.0,7.0,0
2.0,0.0,1.0,0
17.0,3.0,1.0,0
22.0,2.0,6.0,0
43.0,6.0,3.0,0
1.0,3.0,0.0,0
39.0,2.0,2.0,0
151.0,30.0,57.0,0
2.0,1.0,7.0,0
31.0,30.0,3.0,0
31.0,33.0,10.0,0
8.0,9.0,11.0,0
61.0,2.0,4.0,0
14.0,12.0,6.0,0
27.0,12.0,67.0,0
187.0,37.0,20.0,0
148.0,43.0,59.0,0
37.0,9.0,26.0,0
25.0,6.0,55.0,0
8.0,3.0,4.0,0
2.0,2.0,11.0,0
18.0,1.0,2.0,0
59.0,8.0,67.0,0
252.0,78.0,123.0,0
1.0,9.0,1.0,0
59.0,6.0,12.0,0
142.0,65.0,40.0,0
2.0,9.0,2.0,0
3.0,1.0,8.0,0
95.0,89.0,52.0,0
4.0,4.0,7.0,0
18.0,4.0,3.0,0
228.0,61.0,53.0,0
136.0,177.0,68.0,0
5.0,2.0,5.0,0
43.0,86.0,48.0,0
54.0,8.0,36.0,0
2.0,1.0,55.0,0
3.0,1.0,13.0,0
6.0,0.0,1.0,0
1.0,0.0,0.0,0
8.0,11.0,9.0,0
18.0,0.0,1.0,0
287.0,51.0,78.0,0
6.0,1.0,1.0,0
28.0,12.0,21.0,0
5.0,2.0,6.0,0
105.0,22.0,29.0,0
1.0,0.0,4.0,0
66.0,64.0,63.0,0
2.0,0.0,0.0,0
19.0,22.0,29.0,0
96.0,46.0,2.0,0
11.0,5.0,7.0,0
3.0,2.0,4.0,0
45.0,6.0,7.0,0
16.0,9.0,8.0,0
4.0,0.0,0.0,0
1.0,0.0,0.0,0
2.0,2.0,2.0,0
13.0,2.0,1.0,0
14.0,2.0,2.0,0
14.0,7.0,7.0,0
