@relation cancer
@attribute 0 NUMERIC
@attribute 1 NUMERIC
@attribute 2 NUMERIC
@attribute classes {0,1,}
@data
3.0,60.0,4.0,0
9.0,2.0,2.0,0
40.0,71.0,53.0,0
8.0,16.0,11.0,0
16.0,16.0,10.0,0
46.0,138.0,57.0,0
44.0,169.0,64.0,0
394.0,273.0,200.0,0
18.0,58.0,4.0,0
0.0,1.0,21.0,0
8.0,5.0,23.0,0
15.0,233.0,68.0,0
3.0,17.0,1.0,0
2.0,4.0,0.0,0
17.0,5.0,3.0,0
0.0,12.0,2.0,0
1.0,3.0,2.0,0
0.0,5.0,0.0,0
12.0,6.0,1.0,0
70.0,169.0,189.0,0
1.0,1.0,1.0,0
20.0,23.0,13.0,0
7.0,65.0,2.0,0
95.0,247.0,94.0,0
13.0,6.0,9.0,0
2.0,7.0,1.0,0
2.0,0.0,18.0,0
2.0,13.0,1.0,0
13.0,19.0,0.0,0
41.0,199.0,71.0,0
2.0,39.0,2.0,0
58.0,240.0,48.0,0
1.0,11.0,0.0,0
1.0,3.0,6.0,0
2.0,14.0,1.0,0
4.0,14.0,0.0,0
8.0,184.0,33.0,0
5.0,8.0,0.0,0
36.0,37.0,8.0,0
11.0,6.0,7.0,0
8.0,110.0,68.0,0
6.0,11.0,2.0,0
0.0,4.0,0.0,0
24.0,114.0,15.0,0
2.0,15.0,1.0,0
1.0,3.0,6.0,0
32.0,6.0,5.0,0
1.0,7.0,0.0,0
8.0,8.0,14.0,0
3.0,9.0,7.0,0
143.0,293.0,152.0,0
35.0,155.0,9.0,0
70.0,76.0,28.0,0
16.0,37.0,6.0,0
6.0,44.0,1.0,0
1.0,7.0,15.0,0
23.0,41.0,20.0,0
0.0,6.0,8.0,0
2.0,38.0,20.0,0
2.0,15.0,0.0,0
40.0,17.0,5.0,0
21.0,11.0,2.0,0
2.0,9.0,0.0,0
1.0,5.0,0.0,0
16.0,24.0,3.0,0
45.0,21.0,13.0,0
6.0,1.0,2.0,0
158.0,385.0,221.0,0
3.0,24.0,0.0,0
33.0,109.0,74.0,0
0.0,3.0,1.0,0
32.0,13.0,20.0,0
0.0,4.0,7.0,0
2.0,12.0,3.0,0
1.0,15.0,5.0,0
0.0,3.0,0.0,0
1.0,4.0,1.0,0
63.0,166.0,83.0,0
0.0,2.0,7.0,0
3.0,1.0,1.0,0
7.0,15.0,95.0,0
4.0,9.0,2.0,0
0.0,6.0,0.0,0
17.0,61.0,17.0,0
2.0,2.0,0.0,0
83.0,115.0,54.0,0
6.0,10.0,0.0,0
3.0,95.0,3.0,0
3.0,17.0,6.0,0
6.0,14.0,4.0,0
0.0,1.0,1.0,0
9.0,36.0,20.0,0
28.0,85.0,8.0,0
1.0,2.0,0.0,0
1.0,13.0,2.0,0
83.0,293.0,142.0,0
38.0,106.0,2.0,0
0.0,7.0,1.0,0
6.0,123.0,18.0,0
0.0,7.0,132.0,0
94.0,256.0,145.0,0
3.0,19.0,1.0,0
3.0,2.0,12.0,0
9.0,13.0,1.0,0
23.0,72.0,6.0,0
12.0,19.0,14.0,0
203.0,365.0,182.0,0
1.0,27.0,32.0,0
29.0,58.0,23.0,0
5.0,13.0,4.0,0
0.0,5.0,3.0,0
9.0,8.0,3.0,0
6.0,4.0,7.0,0
0.0,1.0,0.0,0
1.0,5.0,0.0,0
54.0,195.0,317.0,0
0.0,2.0,2.0,0
14.0,5.0,7.0,0
7.0,1.0,0.0,0
7.0,22.0,18.0,0
9.0,17.0,0.0,0
1.0,23.0,3.0,0
18.0,66.0,31.0,0
0.0,13.0,0.0,0
14.0,42.0,40.0,0
96.0,82.0,33.0,0
46.0,49.0,15.0,0
52.0,122.0,33.0,0
76.0,150.0,97.0,0
22.0,105.0,29.0,0
13.0,59.0,6.0,0
26.0,41.0,6.0,0
46.0,51.0,100.0,0
0.0,8.0,1.0,0
22.0,150.0,30.0,0
5.0,10.0,22.0,0
48.0,226.0,53.0,0
0.0,7.0,0.0,0
104.0,200.0,225.0,0
11.0,12.0,3.0,0
1.0,21.0,8.0,0
2.0,8.0,2.0,0
25.0,88.0,12.0,0
26.0,34.0,45.0,0
17.0,24.0,10.0,0
0.0,1.0,16.0,0
8.0,5.0,28.0,0
4.0,81.0,6.0,0
26.0,2.0,0.0,0
16.0,6.0,2.0,0
40.0,14.0,16.0,0
118.0,181.0,52.0,0
6.0,3.0,6.0,0
7.0,88.0,9.0,0
10.0,56.0,2.0,0
63.0,56.0,13.0,0
10.0,80.0,6.0,0
0.0,14.0,4.0,0
20.0,127.0,143.0,0
9.0,9.0,18.0,0
5.0,10.0,0.0,0
0.0,2.0,2.0,0
24.0,4.0,21.0,0
2.0,6.0,0.0,0
0.0,9.0,1.0,0
37.0,95.0,73.0,0
6.0,49.0,0.0,0
11.0,29.0,8.0,0
3.0,7.0,8.0,0
4.0,6.0,7.0,0
2.0,1.0,20.0,0
27.0,45.0,12.0,0
0.0,10.0,12.0,0
25.0,5.0,0.0,0
7.0,12.0,54.0,0
59.0,151.0,150.0,0
6.0,100.0,0.0,0
17.0,94.0,19.0,0
29.0,58.0,8.0,0
5.0,44.0,0.0,0
8.0,9.0,1.0,0
0.0,15.0,4.0,0
41.0,32.0,69.0,0
29.0,34.0,41.0,0
7.0,5.0,6.0,0
0.0,1.0,1.0,0
19.0,4.0,5.0,0
20.0,34.0,7.0,0
0.0,2.0,2.0,0
30.0,85.0,50.0,0
14.0,52.0,31.0,0
9.0,24.0,5.0,0
4.0,5.0,2.0,0
18.0,29.0,8.0,0
23.0,22.0,11.0,0
12.0,76.0,18.0,0
16.0,64.0,9.0,0
32.0,29.0,19.0,0
1.0,2.0,5.0,0
5.0,42.0,33.0,0
2.0,2.0,0.0,0
14.0,102.0,19.0,0
32.0,147.0,26.0,0
1.0,23.0,1.0,0
25.0,17.0,13.0,0
114.0,634.0,245.0,0
18.0,64.0,95.0,0
29.0,34.0,4.0,0
1.0,6.0,0.0,0
30.0,64.0,61.0,0
11.0,30.0,40.0,0
53.0,44.0,21.0,0
2.0,5.0,3.0,0
4.0,29.0,22.0,0
29.0,53.0,25.0,0
52.0,105.0,50.0,0
29.0,123.0,20.0,0
2.0,2.0,0.0,0
2.0,5.0,12.0,0
7.0,12.0,45.0,0
22.0,57.0,10.0,0
20.0,66.0,12.0,0
3.0,19.0,4.0,0
3.0,17.0,1.0,0
20.0,42.0,12.0,0
4.0,5.0,0.0,0
0.0,2.0,3.0,0
66.0,297.0,68.0,0
47.0,68.0,21.0,0
